row_index,raw_T1,year,base_prefix,source_path,target_path
0,1/2024/0501 0,2024,1-2024-0501-,images\2024\1-2024-0501-000-000.JPG,output\schreibmaschinen\1-2024-0501-000-000.JPG
0,1/2024/0501 0,2024,1-2024-0501-,images\2024\1-2024-0501-000-001.JPG,output\schreibmaschinen\1-2024-0501-000-001.JPG
0,1/2024/0501 0,2024,1-2024-0501-,images\2024\1-2024-0501-000-002.JPG,output\schreibmaschinen\1-2024-0501-000-002.JPG
0,1/2024/0501 0,2024,1-2024-0501-,images\2024\1-2024-0501-000-003.JPG,output\schreibmaschinen\1-2024-0501-000-003.JPG
5,1/2024/0511 0,2024,1-2024-0511-,images\2024\1-2024-0511-000-000.JPG,output\schreibmaschinen\1-2024-0511-000-000.JPG
5,1/2024/0511 0,2024,1-2024-0511-,images\2024\1-2024-0511-000-001.JPG,output\schreibmaschinen\1-2024-0511-000-001.JPG
5,1/2024/0511 0,2024,1-2024-0511-,images\2024\1-2024-0511-000-002.JPG,output\schreibmaschinen\1-2024-0511-000-002.JPG
8,1/2024/0512 0,2024,1-2024-0512-,images\2024\1-2024-0512-000-000.JPG,output\schreibmaschinen\1-2024-0512-000-000.JPG
8,1/2024/0512 0,2024,1-2024-0512-,images\2024\1-2024-0512-000-001.JPG,output\schreibmaschinen\1-2024-0512-000-001.JPG
8,1/2024/0512 0,2024,1-2024-0512-,images\2024\1-2024-0512-000-002.JPG,output\schreibmaschinen\1-2024-0512-000-002.JPG
8,1/2024/0512 0,2024,1-2024-0512-,images\2024\1-2024-0512-001-000.JPG,output\schreibmaschinen\1-2024-0512-001-000.JPG
12,1/2024/0777 0,2024,1-2024-0777-,images\2024\1-2024-0777-000-000.JPG,output\schreibmaschinen\1-2024-0777-000-000.JPG
12,1/2024/0777 0,2024,1-2024-0777-,images\2024\1-2024-0777-000-001.JPG,output\schreibmaschinen\1-2024-0777-000-001.JPG
12,1/2024/0777 0,2024,1-2024-0777-,images\2024\1-2024-0777-000-002.JPG,output\schreibmaschinen\1-2024-0777-000-002.JPG
15,1/2024/0778 0,2024,1-2024-0778-,images\2024\1-2024-0778-000-000.JPG,output\schreibmaschinen\1-2024-0778-000-000.JPG
15,1/2024/0778 0,2024,1-2024-0778-,images\2024\1-2024-0778-000-001.JPG,output\schreibmaschinen\1-2024-0778-000-001.JPG
15,1/2024/0778 0,2024,1-2024-0778-,images\2024\1-2024-0778-000-002.JPG,output\schreibmaschinen\1-2024-0778-000-002.JPG
18,1/2024/0779 0,2024,1-2024-0779-,images\2024\1-2024-0779-000-000.JPG,output\schreibmaschinen\1-2024-0779-000-000.JPG
18,1/2024/0779 0,2024,1-2024-0779-,images\2024\1-2024-0779-000-001.JPG,output\schreibmaschinen\1-2024-0779-000-001.JPG
18,1/2024/0779 0,2024,1-2024-0779-,images\2024\1-2024-0779-000-002.JPG,output\schreibmaschinen\1-2024-0779-000-002.JPG
18,1/2024/0779 0,2024,1-2024-0779-,images\2024\1-2024-0779-000-003.JPG,output\schreibmaschinen\1-2024-0779-000-003.JPG
22,1/2025/0027 0,2025,1-2025-0027-,images\2025\1-2025-0027-000-000.JPG,output\schreibmaschinen\1-2025-0027-000-000.JPG
22,1/2025/0027 0,2025,1-2025-0027-,images\2025\1-2025-0027-000-001.JPG,output\schreibmaschinen\1-2025-0027-000-001.JPG
22,1/2025/0027 0,2025,1-2025-0027-,images\2025\1-2025-0027-000-002.JPG,output\schreibmaschinen\1-2025-0027-000-002.JPG
22,1/2025/0027 0,2025,1-2025-0027-,images\2025\1-2025-0027-000-003.JPG,output\schreibmaschinen\1-2025-0027-000-003.JPG
22,1/2025/0027 0,2025,1-2025-0027-,images\2025\1-2025-0027-000-004.JPG,output\schreibmaschinen\1-2025-0027-000-004.JPG
27,1/2025/0028 0,2025,1-2025-0028-,images\2025\1-2025-0028-000-000.JPG,output\schreibmaschinen\1-2025-0028-000-000.JPG
27,1/2025/0028 0,2025,1-2025-0028-,images\2025\1-2025-0028-000-001.JPG,output\schreibmaschinen\1-2025-0028-000-001.JPG
27,1/2025/0028 0,2025,1-2025-0028-,images\2025\1-2025-0028-000-002.JPG,output\schreibmaschinen\1-2025-0028-000-002.JPG
27,1/2025/0028 0,2025,1-2025-0028-,images\2025\1-2025-0028-000-003.JPG,output\schreibmaschinen\1-2025-0028-000-003.JPG
31,1/2025/0040 0,2025,1-2025-0040-,images\2025\1-2025-0040-000-000.JPG,output\schreibmaschinen\1-2025-0040-000-000.JPG
31,1/2025/0040 0,2025,1-2025-0040-,images\2025\1-2025-0040-000-001.JPG,output\schreibmaschinen\1-2025-0040-000-001.JPG
31,1/2025/0040 0,2025,1-2025-0040-,images\2025\1-2025-0040-000-002.JPG,output\schreibmaschinen\1-2025-0040-000-002.JPG
31,1/2025/0040 0,2025,1-2025-0040-,images\2025\1-2025-0040-000-003.JPG,output\schreibmaschinen\1-2025-0040-000-003.JPG
35,1/2025/0042 0,2025,1-2025-0042-,images\2025\1-2025-0042-000-000.JPG,output\schreibmaschinen\1-2025-0042-000-000.JPG
35,1/2025/0042 0,2025,1-2025-0042-,images\2025\1-2025-0042-000-001.JPG,output\schreibmaschinen\1-2025-0042-000-001.JPG
35,1/2025/0042 0,2025,1-2025-0042-,images\2025\1-2025-0042-000-002.JPG,output\schreibmaschinen\1-2025-0042-000-002.JPG
35,1/2025/0042 0,2025,1-2025-0042-,images\2025\1-2025-0042-000-003.JPG,output\schreibmaschinen\1-2025-0042-000-003.JPG
39,1/2025/0043 0,2025,1-2025-0043-,images\2025\1-2025-0043-000-000.JPG,output\schreibmaschinen\1-2025-0043-000-000.JPG
39,1/2025/0043 0,2025,1-2025-0043-,images\2025\1-2025-0043-000-001.JPG,output\schreibmaschinen\1-2025-0043-000-001.JPG
39,1/2025/0043 0,2025,1-2025-0043-,images\2025\1-2025-0043-000-002.JPG,output\schreibmaschinen\1-2025-0043-000-002.JPG
42,1/2025/0044 0,2025,1-2025-0044-,images\2025\1-2025-0044-000-000.JPG,output\schreibmaschinen\1-2025-0044-000-000.JPG
42,1/2025/0044 0,2025,1-2025-0044-,images\2025\1-2025-0044-000-001.JPG,output\schreibmaschinen\1-2025-0044-000-001.JPG
42,1/2025/0044 0,2025,1-2025-0044-,images\2025\1-2025-0044-000-002.JPG,output\schreibmaschinen\1-2025-0044-000-002.JPG
42,1/2025/0044 0,2025,1-2025-0044-,images\2025\1-2025-0044-000-003.JPG,output\schreibmaschinen\1-2025-0044-000-003.JPG
42,1/2025/0044 0,2025,1-2025-0044-,images\2025\1-2025-0044-000-004.JPG,output\schreibmaschinen\1-2025-0044-000-004.JPG
47,1/2025/0045 0,2025,1-2025-0045-,images\2025\1-2025-0045-000-000.JPG,output\schreibmaschinen\1-2025-0045-000-000.JPG
47,1/2025/0045 0,2025,1-2025-0045-,images\2025\1-2025-0045-000-001.JPG,output\schreibmaschinen\1-2025-0045-000-001.JPG
47,1/2025/0045 0,2025,1-2025-0045-,images\2025\1-2025-0045-000-002.JPG,output\schreibmaschinen\1-2025-0045-000-002.JPG
47,1/2025/0045 0,2025,1-2025-0045-,images\2025\1-2025-0045-000-003.JPG,output\schreibmaschinen\1-2025-0045-000-003.JPG
47,1/2025/0045 0,2025,1-2025-0045-,images\2025\1-2025-0045-000-004.JPG,output\schreibmaschinen\1-2025-0045-000-004.JPG
52,1/2025/0046 0,2025,1-2025-0046-,images\2025\1-2025-0046-000-000.JPG,output\schreibmaschinen\1-2025-0046-000-000.JPG
52,1/2025/0046 0,2025,1-2025-0046-,images\2025\1-2025-0046-000-001.JPG,output\schreibmaschinen\1-2025-0046-000-001.JPG
52,1/2025/0046 0,2025,1-2025-0046-,images\2025\1-2025-0046-000-002.JPG,output\schreibmaschinen\1-2025-0046-000-002.JPG
52,1/2025/0046 0,2025,1-2025-0046-,images\2025\1-2025-0046-000-003.JPG,output\schreibmaschinen\1-2025-0046-000-003.JPG
52,1/2025/0046 0,2025,1-2025-0046-,images\2025\1-2025-0046-000-004.JPG,output\schreibmaschinen\1-2025-0046-000-004.JPG
57,1/2025/0299 0,2025,1-2025-0299-,images\2025\1-2025-0299-000-000.JPG,output\schreibmaschinen\1-2025-0299-000-000.JPG
57,1/2025/0299 0,2025,1-2025-0299-,images\2025\1-2025-0299-000-001.JPG,output\schreibmaschinen\1-2025-0299-000-001.JPG
57,1/2025/0299 0,2025,1-2025-0299-,images\2025\1-2025-0299-000-002.JPG,output\schreibmaschinen\1-2025-0299-000-002.JPG
57,1/2025/0299 0,2025,1-2025-0299-,images\2025\1-2025-0299-000-003.JPG,output\schreibmaschinen\1-2025-0299-000-003.JPG
61,1/2025/0300 0,2025,1-2025-0300-,images\2025\1-2025-0300-000-000.JPG,output\schreibmaschinen\1-2025-0300-000-000.JPG
61,1/2025/0300 0,2025,1-2025-0300-,images\2025\1-2025-0300-000-001.JPG,output\schreibmaschinen\1-2025-0300-000-001.JPG
61,1/2025/0300 0,2025,1-2025-0300-,images\2025\1-2025-0300-000-002.JPG,output\schreibmaschinen\1-2025-0300-000-002.JPG
61,1/2025/0300 0,2025,1-2025-0300-,images\2025\1-2025-0300-000-003.JPG,output\schreibmaschinen\1-2025-0300-000-003.JPG
61,1/2025/0300 0,2025,1-2025-0300-,images\2025\1-2025-0300-000-004.JPG,output\schreibmaschinen\1-2025-0300-000-004.JPG
61,1/2025/0300 0,2025,1-2025-0300-,images\2025\1-2025-0300-000-005.JPG,output\schreibmaschinen\1-2025-0300-000-005.JPG
67,1/2025/0301 0,2025,1-2025-0301-,images\2025\1-2025-0301-000-000.JPG,output\schreibmaschinen\1-2025-0301-000-000.JPG
67,1/2025/0301 0,2025,1-2025-0301-,images\2025\1-2025-0301-000-001.JPG,output\schreibmaschinen\1-2025-0301-000-001.JPG
67,1/2025/0301 0,2025,1-2025-0301-,images\2025\1-2025-0301-000-002.JPG,output\schreibmaschinen\1-2025-0301-000-002.JPG
70,1/2025/0333 0,2025,1-2025-0333-,images\2025\1-2025-0333-000-100.JPG,output\schreibmaschinen\1-2025-0333-000-100.JPG
70,1/2025/0333 0,2025,1-2025-0333-,images\2025\1-2025-0333-000-101.JPG,output\schreibmaschinen\1-2025-0333-000-101.JPG
70,1/2025/0333 0,2025,1-2025-0333-,images\2025\1-2025-0333-000-102.JPG,output\schreibmaschinen\1-2025-0333-000-102.JPG
70,1/2025/0333 0,2025,1-2025-0333-,images\2025\1-2025-0333-000-103.JPG,output\schreibmaschinen\1-2025-0333-000-103.JPG
70,1/2025/0333 0,2025,1-2025-0333-,images\2025\1-2025-0333-000-104.JPG,output\schreibmaschinen\1-2025-0333-000-104.JPG
75,1/2025/0334 0,2025,1-2025-0334-,images\2025\1-2025-0334-000-100.JPG,output\schreibmaschinen\1-2025-0334-000-100.JPG
75,1/2025/0334 0,2025,1-2025-0334-,images\2025\1-2025-0334-000-101.JPG,output\schreibmaschinen\1-2025-0334-000-101.JPG
75,1/2025/0334 0,2025,1-2025-0334-,images\2025\1-2025-0334-000-102.JPG,output\schreibmaschinen\1-2025-0334-000-102.JPG
75,1/2025/0334 0,2025,1-2025-0334-,images\2025\1-2025-0334-000-103.JPG,output\schreibmaschinen\1-2025-0334-000-103.JPG
79,1/2025/0335 0,2025,1-2025-0335-,images\2025\1-2025-0335-000-100.JPG,output\schreibmaschinen\1-2025-0335-000-100.JPG
79,1/2025/0335 0,2025,1-2025-0335-,images\2025\1-2025-0335-000-101.JPG,output\schreibmaschinen\1-2025-0335-000-101.JPG
79,1/2025/0335 0,2025,1-2025-0335-,images\2025\1-2025-0335-000-102.JPG,output\schreibmaschinen\1-2025-0335-000-102.JPG
79,1/2025/0335 0,2025,1-2025-0335-,images\2025\1-2025-0335-000-103.JPG,output\schreibmaschinen\1-2025-0335-000-103.JPG
79,1/2025/0335 0,2025,1-2025-0335-,images\2025\1-2025-0335-000-104.JPG,output\schreibmaschinen\1-2025-0335-000-104.JPG
79,1/2025/0335 0,2025,1-2025-0335-,images\2025\1-2025-0335-000-105.JPG,output\schreibmaschinen\1-2025-0335-000-105.JPG
85,1/2025/0336 0,2025,1-2025-0336-,images\2025\1-2025-0336-000-100.JPG,output\schreibmaschinen\1-2025-0336-000-100.JPG
85,1/2025/0336 0,2025,1-2025-0336-,images\2025\1-2025-0336-000-101.JPG,output\schreibmaschinen\1-2025-0336-000-101.JPG
87,1/2025/0371 0,2025,1-2025-0371-,images\2025\1-2025-0371-000-100.JPG,output\schreibmaschinen\1-2025-0371-000-100.JPG
88,1/2025/0372 0,2025,1-2025-0372-,images\2025\1-2025-0372-000-100.JPG,output\schreibmaschinen\1-2025-0372-000-100.JPG
88,1/2025/0372 0,2025,1-2025-0372-,images\2025\1-2025-0372-000-101.JPG,output\schreibmaschinen\1-2025-0372-000-101.JPG
90,1/2025/0382 0,2025,1-2025-0382-,images\2025\1-2025-0382-000-000.JPG,output\schreibmaschinen\1-2025-0382-000-000.JPG
90,1/2025/0382 0,2025,1-2025-0382-,images\2025\1-2025-0382-000-001.JPG,output\schreibmaschinen\1-2025-0382-000-001.JPG
90,1/2025/0382 0,2025,1-2025-0382-,images\2025\1-2025-0382-000-002.JPG,output\schreibmaschinen\1-2025-0382-000-002.JPG
93,1/2025/0383 0,2025,1-2025-0383-,images\2025\1-2025-0383-000-000.JPG,output\schreibmaschinen\1-2025-0383-000-000.JPG
93,1/2025/0383 0,2025,1-2025-0383-,images\2025\1-2025-0383-000-001.JPG,output\schreibmaschinen\1-2025-0383-000-001.JPG
93,1/2025/0383 0,2025,1-2025-0383-,images\2025\1-2025-0383-000-002.JPG,output\schreibmaschinen\1-2025-0383-000-002.JPG
96,1/2025/0384 0,2025,1-2025-0384-,images\2025\1-2025-0384-000-000.JPG,output\schreibmaschinen\1-2025-0384-000-000.JPG
96,1/2025/0384 0,2025,1-2025-0384-,images\2025\1-2025-0384-000-001.JPG,output\schreibmaschinen\1-2025-0384-000-001.JPG
96,1/2025/0384 0,2025,1-2025-0384-,images\2025\1-2025-0384-000-002.JPG,output\schreibmaschinen\1-2025-0384-000-002.JPG
99,1/2025/0385 0,2025,1-2025-0385-,images\2025\1-2025-0385-000-000.JPG,output\schreibmaschinen\1-2025-0385-000-000.JPG
99,1/2025/0385 0,2025,1-2025-0385-,images\2025\1-2025-0385-000-001.JPG,output\schreibmaschinen\1-2025-0385-000-001.JPG
99,1/2025/0385 0,2025,1-2025-0385-,images\2025\1-2025-0385-000-002.JPG,output\schreibmaschinen\1-2025-0385-000-002.JPG
102,1/2025/0390 0,2025,1-2025-0390-,images\2025\1-2025-0390-000-000.JPG,output\schreibmaschinen\1-2025-0390-000-000.JPG
102,1/2025/0390 0,2025,1-2025-0390-,images\2025\1-2025-0390-000-001.JPG,output\schreibmaschinen\1-2025-0390-000-001.JPG
102,1/2025/0390 0,2025,1-2025-0390-,images\2025\1-2025-0390-000-002.JPG,output\schreibmaschinen\1-2025-0390-000-002.JPG
102,1/2025/0390 0,2025,1-2025-0390-,images\2025\1-2025-0390-000-003.JPG,output\schreibmaschinen\1-2025-0390-000-003.JPG
102,1/2025/0390 0,2025,1-2025-0390-,images\2025\1-2025-0390-000-004.JPG,output\schreibmaschinen\1-2025-0390-000-004.JPG
102,1/2025/0390 0,2025,1-2025-0390-,images\2025\1-2025-0390-000-005.JPG,output\schreibmaschinen\1-2025-0390-000-005.JPG
102,1/2025/0390 0,2025,1-2025-0390-,images\2025\1-2025-0390-000-006.JPG,output\schreibmaschinen\1-2025-0390-000-006.JPG
111,1/2025/0603 0,2025,1-2025-0603-,images\2025\1-2025-0603-000-000.JPG,output\schreibmaschinen\1-2025-0603-000-000.JPG
111,1/2025/0603 0,2025,1-2025-0603-,images\2025\1-2025-0603-000-001.JPG,output\schreibmaschinen\1-2025-0603-000-001.JPG
111,1/2025/0603 0,2025,1-2025-0603-,images\2025\1-2025-0603-000-002.JPG,output\schreibmaschinen\1-2025-0603-000-002.JPG
111,1/2025/0603 0,2025,1-2025-0603-,images\2025\1-2025-0603-000-003.JPG,output\schreibmaschinen\1-2025-0603-000-003.JPG
111,1/2025/0603 0,2025,1-2025-0603-,images\2025\1-2025-0603-000-004.JPG,output\schreibmaschinen\1-2025-0603-000-004.JPG
116,1/2025/0759 0,2025,1-2025-0759-,images\2025\1-2025-0759-000-000.JPG,output\schreibmaschinen\1-2025-0759-000-000.JPG
116,1/2025/0759 0,2025,1-2025-0759-,images\2025\1-2025-0759-000-001.JPG,output\schreibmaschinen\1-2025-0759-000-001.JPG
116,1/2025/0759 0,2025,1-2025-0759-,images\2025\1-2025-0759-000-002.JPG,output\schreibmaschinen\1-2025-0759-000-002.JPG
116,1/2025/0759 0,2025,1-2025-0759-,images\2025\1-2025-0759-000-003.JPG,output\schreibmaschinen\1-2025-0759-000-003.JPG
120,1/2025/0767 0,2025,1-2025-0767-,images\2025\1-2025-0767-000-000.JPG,output\schreibmaschinen\1-2025-0767-000-000.JPG
120,1/2025/0767 0,2025,1-2025-0767-,images\2025\1-2025-0767-000-001.JPG,output\schreibmaschinen\1-2025-0767-000-001.JPG
120,1/2025/0767 0,2025,1-2025-0767-,images\2025\1-2025-0767-000-002.JPG,output\schreibmaschinen\1-2025-0767-000-002.JPG
120,1/2025/0767 0,2025,1-2025-0767-,images\2025\1-2025-0767-000-003.JPG,output\schreibmaschinen\1-2025-0767-000-003.JPG
120,1/2025/0767 0,2025,1-2025-0767-,images\2025\1-2025-0767-000-004.JPG,output\schreibmaschinen\1-2025-0767-000-004.JPG
